iter	Passed	Remaining
0	140	140812
1	142	71081
2	145	48205
3	146	36484
4	148	29572
5	150	24876
6	151	21545
7	153	18996
8	154	17021
9	156	15462
10	158	14263
11	160	13186
12	161	12257
13	163	11499
14	164	10799
15	165	10202
16	166	9651
17	167	9158
18	168	8724
19	171	8385
20	172	8039
21	173	7718
22	176	7515
23	178	7242
24	179	6993
25	180	6754
26	181	6532
27	182	6330
28	183	6140
29	185	5993
30	187	5851
31	188	5712
32	189	5565
33	191	5427
34	192	5295
35	193	5169
36	194	5057
37	195	4948
38	196	4842
39	197	4745
40	201	4718
41	203	4636
42	204	4550
43	205	4465
44	206	4388
45	208	4315
46	209	4242
47	210	4170
48	211	4102
49	212	4039
50	214	4000
51	216	3951
52	218	3899
53	219	3845
54	221	3799
55	222	3747
56	223	3695
57	224	3645
58	225	3598
59	226	3550
60	228	3519
61	231	3497
62	232	3455
63	233	3418
64	234	3375
65	235	3335
66	236	3299
67	238	3264
68	239	3231
69	240	3197
70	241	3164
71	245	3160
72	246	3135
73	248	3105
74	249	3074
75	250	3045
76	251	3014
77	252	2986
78	253	2958
79	255	2932
80	256	2907
81	258	2890
82	258	2860
83	260	2840
84	262	2821
85	263	2800
86	264	2776
87	265	2756
88	267	2735
89	268	2714
90	269	2693
91	270	2670
92	271	2649
93	274	2642
94	276	2630
95	277	2610
96	278	2592
97	279	2575
98	280	2556
99	282	2538
100	283	2519
101	284	2500
102	285	2486
103	288	2486
104	289	2469
105	290	2450
106	292	2439
107	293	2423
108	294	2407
109	295	2392
110	296	2377
111	298	2363
112	299	2351
113	300	2336
114	302	2330
115	304	2319
116	305	2305
117	307	2297
118	308	2286
119	309	2272
120	310	2258
121	312	2248
122	314	2240
123	315	2231
124	319	2237
125	321	2228
126	322	2214
127	323	2202
128	324	2190
129	326	2182
130	327	2169
131	328	2159
132	329	2148
133	330	2137
134	333	2139
135	335	2130
136	336	2119
137	337	2109
138	339	2101
139	340	2089
140	341	2078
141	341	2065
142	342	2054
143	344	2044
144	345	2037
145	350	2048
146	354	2059
147	356	2049
148	356	2038
149	358	2028
150	359	2022
151	360	2012
152	361	2002
153	363	1998
154	365	1992
155	366	1983
156	367	1973
157	368	1963
158	369	1953
159	370	1943
160	370	1932
161	372	1925
162	373	1917
163	374	1908
164	375	1901
165	377	1894
166	379	1891
167	380	1883
168	381	1875
169	382	1867
170	383	1860
171	385	1855
172	386	1848
173	387	1840
174	388	1833
175	390	1827
176	391	1821
177	393	1818
178	395	1812
179	396	1805
180	397	1799
181	398	1792
182	400	1786
183	401	1778
184	401	1770
185	402	1763
186	404	1757
187	405	1751
188	409	1755
189	411	1752
190	412	1747
191	413	1741
192	415	1738
193	417	1733
194	418	1729
195	420	1723
196	421	1716
197	422	1713
198	424	1708
199	425	1702
200	426	1696
201	428	1691
202	429	1686
203	430	1681
204	432	1675
205	433	1670
206	434	1664
207	435	1658
208	438	1658
209	439	1653
210	440	1648
211	441	1642
212	443	1637
213	444	1632
214	445	1626
215	446	1620
216	447	1615
217	448	1609
218	450	1605
219	453	1608
220	454	1603
221	456	1598
222	457	1593
223	458	1588
224	459	1582
225	460	1577
226	461	1571
227	462	1566
228	463	1561
229	464	1555
230	465	1549
231	467	1548
232	469	1544
233	470	1538
234	471	1534
235	472	1530
236	474	1527
237	476	1524
238	477	1519
239	478	1514
240	478	1508
241	479	1503
242	480	1497
243	482	1495
244	483	1491
245	485	1488
246	487	1485
247	488	1482
248	492	1484
249	494	1482
250	500	1492
251	501	1489
252	503	1486
253	505	1483
254	506	1480
255	510	1482
256	513	1485
257	515	1481
258	516	1477
